835,22,0.0210133,9.06954,12
1024,23,0.0253563,10.0931,15
72,17,0.00302758,9.28426,13
953,25,0.024579,11.8364,17
91,16,0.00196991,6.66142,10
652,22,0.0208293,9.29183,12
350,22,0.0111489,10.5641,14
612,21,0.0131878,9.86364,11
232,17,0.00515766,7.56101,7
177,21,0.00668741,10.8599,13
511,23,0.0152494,10.0227,15
1037,23,0.024457,10.3678,11
197,19,0.00409325,8.41682,13
697,22,0.0208315,9.23299,14
239,19,0.00920619,7.89548,13
1622,22,0.0397225,9.62988,10
315,20,0.0110111,8.77765,10
30,21,0.000903924,10.5802,19
373,22,0.0113225,10.7719,18
550,22,0.0152496,10.6368,16
34,16,0.00149405,8.38298,14
118,16,0.00240572,8.4486,10
1449,25,0.0359729,10.8656,15
873,22,0.0223379,10.1189,14
808,23,0.0217624,9.78253,13
1167,25,0.0310176,10.5931,15
308,21,0.00999544,9.51803,15
41,13,0.00184698,5.9913,7
533,23,0.0151201,11.0541,13
346,24,0.012988,11.7001,16
929,24,0.0258427,10.3699,14
117,16,0.00544525,8.80251,12
26,18,0.00140666,9.15069,16
666,23,0.018756,10.134,13
1734,26,0.0409212,10.8431,14
1824,27,0.0440729,12.2916,17
231,22,0.00993357,11.5935,14
1807,26,0.0444581,10.7815,14
655,22,0.014369,9.41163,12
2298,25,0.0518005,10.2168,13
76,14,0.00300934,7.30476,8
786,25,0.0239443,11.4165,19
609,21,0.019993,9.13572,11
2231,26,0.0514548,10.6949,16
1757,24,0.0420782,9.84861,14
299,24,0.0103306,11.8319,20
41,18,0.000891834,10.1579,14
543,23,0.014981,10.765,15
438,21,0.0135852,10.0331,11
2864,28,0.0637243,12.4379,16
221,20,0.00806957,9.79868,12
2849,27,0.0647558,11.1618,15
179,19,0.0057169,8.80864,11
1075,26,0.0278999,11.7328,16
177,18,0.00763183,8.54132,12
752,24,0.0209083,10.1776,16
182,18,0.00802149,8.15041,8
1355,24,0.032251,10.0725,12
205,23,0.00732456,11.2301,17
712,24,0.0180279,10.6656,16
1421,27,0.03448,12.2715,19
2186,25,0.0580882,9.90231,13
168,21,0.00515558,10.7969,15
39,22,0.00120746,12.3962,18
4038,28,0.0898262,11.2251,14
90,20,0.00187722,9.86008,16
2905,27,0.0673935,10.9409,17
2301,27,0.0538814,12.0106,15
698,25,0.0214115,11.0091,19
2190,24,0.0501017,9.4195,10
936,24,0.0260307,11.967,16
238,22,0.00897372,10.146,16
3038,27,0.0690561,11.0005,15
1632,26,0.0354571,10.8941,18
4306,25,0.0919848,10.2857,11
739,26,0.0184848,12.1547,20
382,20,0.0103806,9.36158,14
2084,26,0.0519562,10.7545,16
99,16,0.00419689,7.47445,10
2764,27,0.0625289,11.5406,17
428,19,0.0143899,8.57229,11
715,25,0.0151285,13.3865,21
68,15,0.00282544,7.32804,11
34,17,0.00108449,9.44211,13
121,15,0.00463864,7.10942,7
993,25,0.0262416,10.8389,17
163,17,0.00644609,8.93468,11
2389,27,0.0554281,11.8272,17
369,20,0.0125021,8.17487,8
356,20,0.0115639,8.54963,12
1461,27,0.0346155,11.3477,21
854,26,0.022808,11.6485,18
730,22,0.0209876,9.53672,12
257,22,0.00516852,11.5,14
414,22,0.0135347,9.89445,12
181,19,0.0037352,10.1166,17
336,20,0.0123193,8.96167,8
707,21,0.0205,8.4652,9
1467,24,0.0377328,11.102,14
1319,25,0.0319261,10.8123,13
