-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
313211,46,9.13168,21.5576,32
-,-,-,-,-
-,-,-,-,-
32334,45,0.911393,26.3719,35
831333,46,25.9394,19.528,36
-,-,-,-,-
-,-,-,-,-
909219,42,28.5537,18.5593,24
-,-,-,-,-
-,-,-,-,-
154092,46,4.45999,23.1086,36
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
909442,52,27.7641,28.0024,36
-,-,-,-,-
215990,47,6.39004,24.94,35
192534,50,5.4762,28.295,38
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
827864,53,24.7799,28.869,41
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
48447,42,1.36348,23.3823,30
-,-,-,-,-
-,-,-,-,-
539196,51,16.2942,27.4383,39
-,-,-,-,-
179689,47,5.30137,25.5687,35
119535,49,3.42437,25.341,39
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
152123,41,4.46428,20.6659,29
-,-,-,-,-
484048,50,14.7512,26.2532,36
506538,51,14.7054,25.6605,37
-,-,-,-,-
-,-,-,-,-
508957,45,15.302,21.7806,31
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
920623,47,28.5358,22.667,31
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
557862,44,17.1097,20.6474,30
-,-,-,-,-
188717,49,5.62265,24.029,37
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
619299,53,18.4061,27.5539,41
68633,42,2.0145,21.8089,28
-,-,-,-,-
744209,53,21.5074,28.1715,39
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
158355,44,4.63306,20.9486,32
195222,45,5.58928,22.4161,35
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
820923,50,24.4242,26.2019,36
-,-,-,-,-
-,-,-,-,-
438960,46,13.0628,21.0132,34
276325,53,8.13554,27.9899,45
751475,50,22.5358,25.1565,34
-,-,-,-,-
191601,44,5.6034,21.3417,32
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
